no,Item No.,Des,company no,company,dept no,department,Inventory Uom,cur bal,adj qty,new bal,unit cost,total,wh code,wh
0,MTGEN0001880,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0001892,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0001905,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0001992,aa,1,Western Paper Industries ,4,STORES,CUBE,0,3,3,0,0,0,0
0,MTGEN0002581,aa,1,Western Paper Industries ,4,STORES,KG,0,450,450,0,0,0,0
0,MTMEC0000767,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0000824,aa,1,Western Paper Industries ,4,STORES,NOS,0,8,8,0,0,0,0
0,MTMEC0000937,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTMEC0001284,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0001288,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0001952,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002073,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTAUT0002483,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0002485,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0000196,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0000196,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTELC0001501,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTELC0002016,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTFUL0001208,aa,1,Western Paper Industries ,4,STORES,LITER,0,30,30,0,0,0,0
0,MTGEN0000266,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTGEN0000305,aa,1,Western Paper Industries ,4,STORES,NOS,0,63,63,0,0,0,0
0,MTGEN0000308,aa,1,Western Paper Industries ,4,STORES,NOS,0,20,20,0,0,0,0
