no,ITEM CODE,Des,company no,company,dept no,department,Inventory UoM,cur bal,adj qty,NewBal,unit cost,total,wh code,wh
0,MTAUT0002373,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002374,aa,1,Western Paper Industries ,4,STORES,FEET,0,0,0,0,0,0,0
0,MTAUT0002375,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002376,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002377,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002378,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002379,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002380,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002416,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002417,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002423,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002433,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002434,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002435,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002436,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002437,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002438,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002439,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002440,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002448,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002449,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002471,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002473,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002474,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002475,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002476,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002477,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002478,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002479,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002480,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002481,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0002482,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002483,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0002484,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002485,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002487,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002488,aa,1,Western Paper Industries ,4,STORES,MM,0,350,350,0,0,0,0
0,MTAUT0002489,aa,1,Western Paper Industries ,4,STORES,MM,0,"1,150.00","1,150.00",0,0,0,0
0,MTAUT0002490,aa,1,Western Paper Industries ,4,STORES,MM,0,0,0,0,0,0,0
0,MTAUT0002494,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002495,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002496,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002497,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002498,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002499,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002500,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002501,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002502,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
